,Pid,Time,UnixTimes,Thermal_sensation,Thermal_preference,Clothing,HRStdDev,HRAvg,tempStdDev,tempAvg,EDAStdDev,EDAAvg,Engage_1,Engage_2,Engage_3,Engage_4,Engage_5,Arousal,Valence,Confidence_level
89,16,29/10/2019 15:34,1572323640,1,Cooler,"Shirt,Shorts",5.115856179965907,80.88244242424243,0.30953830134825183,36.14382121212121,0.12984163469050478,0.5999955826515152,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,1,2,3.0
90,15,28/10/2019 10:55,1572220500,0,No change,"Jumper,Shorts,Dress",18.09154401700862,92.3123696969697,0.3934541600727291,25.58932121212121,0.672519280698166,0.8560960851515151,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3,2,3.0
91,15,29/10/2019 15:22,1572322920,1,No change,"Jumper,Shorts,Skirt",17.23694214283815,87.63189393939393,0.5924210298764502,33.89171515151515,1.4860573296606647,2.259092360984848,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,1,2,3.0
92,15,30/10/2019 10:37,1572392220,-1,Warmer,"Shirt,Jumper,Pants",17.2637721178516,86.97730909090909,0.7497429561887927,30.91252727272727,0.2772739430852796,0.30892713143939393,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,2,3.0
93,15,31/10/2019 13:10,1572487800,2,Cooler,"Jumper,Dress",11.933581744487016,87.04892121212121,0.6747424874488758,33.833075757575756,1.6974436631837928,1.4056429474242422,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,4,3.0
94,15,1/11/2019 11:32,1572568320,-1,No change,"Shirt,Pants",15.413749231878008,80.03201515151515,0.7364657598842522,32.60996363636364,0.24878279262230354,0.3723935160606061,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,2,3,3.0
95,15,18/11/2019 14:21,1574047260,2,No change,"Shirt,Jumper,Skirt",13.702140413994323,91.88999696969697,2.6733746953825017,32.00041515151515,1.3512565019879574,1.871552569621212,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,1,2,3.0
96,15,18/11/2019 15:33,1574051580,0,No change,"Shirt,Jumper,Skirt",14.578391504923758,88.87370606060605,0.4420490041082776,33.555239393939395,1.5120675919432718,2.0662983903787877,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,1,3.0
97,15,21/11/2019 11:01,1574294460,2,Cooler,"Shirt,Jumper,Skirt",15.517381492108974,82.41315757575757,0.4755963739083707,34.331918181818175,2.7060171811389226,4.182348725606061,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,3,4.0
98,14,28/10/2019 15:28,1572236880,1,Cooler,"Shirt,Shorts",7.897287210965303,98.53079393939394,0.4561654662616176,34.74959393939394,4.431691774392808,4.5844442019696965,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,2,3,4.0
